Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019,Indiana Pacers*,82,19705,3177,7059,0.45,932,2633,0.354,2245,4426,0.507,1298,1718,0.756,862,2718,3580,2006,608,425,1284,1642,8584
2019,Miami Heat,82,19730,3141,7116,0.441,973,2717,0.358,2168,4399,0.493,1432,1861,0.769,831,2792,3623,1913,612,389,1159,1652,8687
2019,Memphis Grizzlies,82,19880,3083,6836,0.451,951,2639,0.36,2132,4197,0.508,1586,2023,0.784,781,2883,3664,1920,625,402,1249,1758,8703
2019,Utah Jazz*,82,19755,3276,7253,0.452,806,2273,0.355,2470,4980,0.496,1372,1822,0.753,733,2762,3495,1770,695,376,1136,1835,8730
2019,Orlando Magic*,82,19780,3274,7185,0.456,858,2475,0.347,2416,4710,0.513,1336,1717,0.778,739,2922,3661,1892,575,362,1064,1537,8742
2019,Denver Nuggets*,82,19730,3246,7084,0.458,887,2618,0.339,2359,4466,0.528,1372,1822,0.753,799,2685,3484,2016,610,407,1109,1675,8751
2019,Detroit Pistons*,82,19855,3271,6969,0.469,786,2278,0.345,2485,4691,0.53,1470,1947,0.755,747,2834,3581,1940,566,419,1153,1748,8798
2019,Boston Celtics*,82,19780,3239,7222,0.448,944,2748,0.344,2295,4474,0.513,1430,1872,0.764,852,2912,3764,1940,556,317,1241,1602,8852
2019,Toronto Raptors*,82,19880,3302,7352,0.449,882,2559,0.345,2420,4793,0.505,1399,1829,0.765,867,2804,3671,2012,622,368,1225,1683,8885
2019,Houston Rockets*,82,19830,3313,7106,0.466,831,2444,0.34,2482,4662,0.532,1493,1944,0.768,899,2825,3724,1929,607,369,1232,1640,8950
2019,Milwaukee Bucks*,82,19780,3322,7669,0.433,1073,2976,0.361,2249,4693,0.479,1242,1694,0.733,813,2902,3715,2031,557,395,1096,1653,8959
2019,San Antonio Spurs*,82,19805,3404,7354,0.463,961,2678,0.359,2443,4676,0.522,1249,1654,0.755,756,2844,3600,2025,589,332,999,1611,9018
2019,Dallas Mavericks,82,19780,3357,7315,0.459,918,2667,0.344,2439,4648,0.525,1400,1802,0.777,836,2840,3676,2011,643,368,1065,1905,9032
2019,Portland Trail Blazers*,82,19855,3371,7384,0.457,878,2443,0.359,2493,4941,0.505,1438,1868,0.77,842,2670,3512,1906,603,420,1014,1699,9058
2019,Oklahoma City Thunder*,82,19855,3343,7272,0.46,922,2592,0.356,2421,4680,0.517,1500,1971,0.761,811,2936,3747,2039,672,415,1372,1844,9108
2019,Golden State Warriors*,82,19805,3315,7471,0.444,955,2753,0.347,2360,4718,0.5,1535,1987,0.773,886,2750,3636,1989,630,295,1105,1601,9120
2019,Charlotte Hornets,82,19830,3436,7311,0.47,992,2748,0.361,2444,4563,0.536,1307,1660,0.787,825,2931,3756,2133,565,492,1109,1686,9171
2019,Brooklyn Nets*,82,19980,3460,7581,0.456,848,2486,0.341,2612,5095,0.513,1442,1872,0.77,902,2889,3791,1944,638,432,1104,1807,9210
2019,Philadelphia 76ers*,82,19805,3418,7506,0.455,843,2464,0.342,2575,5042,0.511,1545,2011,0.768,823,2743,3566,1917,634,336,1045,1816,9224
2019,Chicago Bulls,82,19905,3464,7316,0.473,990,2709,0.365,2474,4607,0.537,1377,1805,0.763,824,2984,3808,2094,600,473,1092,1534,9295
2019,Los Angeles Lakers,82,19780,3438,7610,0.452,971,2784,0.349,2467,4826,0.511,1459,1862,0.784,924,2918,3842,2053,683,421,1167,1706,9306
2019,New York Knicks,82,19780,3434,7352,0.467,969,2673,0.363,2465,4679,0.527,1493,1948,0.766,881,3016,3897,2098,607,458,1084,1708,9330
2019,Minnesota Timberwolves,82,19830,3452,7386,0.467,1041,2752,0.378,2411,4634,0.52,1401,1827,0.767,921,2822,3743,2145,539,455,1209,1795,9346
2019,Cleveland Cavaliers,82,19755,3539,7148,0.495,984,2590,0.38,2555,4558,0.561,1293,1680,0.77,782,2835,3617,2107,568,459,1022,1592,9355
2019,Los Angeles Clippers*,82,19830,3423,7490,0.457,849,2477,0.343,2574,5013,0.513,1677,2159,0.777,925,2826,3751,1976,677,498,1081,1969,9372
2019,Sacramento Kings,82,19730,3465,7430,0.466,986,2837,0.348,2479,4593,0.54,1539,1998,0.77,917,3015,3932,2024,618,420,1304,1753,9455
2019,New Orleans Pelicans,82,19755,3549,7610,0.466,1006,2766,0.364,2543,4844,0.525,1471,1926,0.764,898,2855,3753,2174,702,445,1113,1722,9575
2019,Phoenix Suns,82,19880,3482,7230,0.482,912,2454,0.372,2570,4776,0.538,1705,2263,0.753,971,2897,3868,2126,737,411,1285,1694,9581
2019,Washington Wizards,82,19930,3560,7424,0.48,994,2689,0.37,2566,4735,0.542,1474,1895,0.778,936,2939,3875,2151,631,378,1292,1741,9588
2019,Atlanta Hawks,82,19855,3508,7417,0.473,1013,2820,0.359,2495,4597,0.543,1759,2321,0.758,871,2904,3775,2202,810,448,1234,1817,9788
2018,Utah Jazz*,82,19755,3057,6804,0.449,778,2131,0.365,2279,4673,0.488,1295,1680,0.771,710,2702,3412,1636,678,380,1224,1683,8187
2018,San Antonio Spurs*,82,19730,3131,6911,0.453,750,2154,0.348,2381,4757,0.501,1175,1549,0.759,756,2731,3487,1786,622,318,1155,1619,8187
2018,Boston Celtics*,82,19805,3066,6973,0.44,769,2270,0.339,2297,4703,0.488,1334,1748,0.763,791,2804,3595,1744,594,364,1159,1571,8235
2018,Miami Heat*,82,19930,3090,6873,0.45,785,2181,0.36,2305,4692,0.491,1476,1885,0.783,744,2791,3535,1720,616,378,1160,1587,8441
2018,Portland Trail Blazers*,82,19755,3146,7042,0.447,794,2179,0.364,2352,4863,0.484,1362,1803,0.755,763,2755,3518,1655,602,418,1036,1564,8448
2018,Toronto Raptors*,82,19830,3149,7017,0.449,731,2046,0.357,2418,4971,0.486,1489,1941,0.767,806,2672,3478,1785,588,401,1176,1633,8518
2018,Houston Rockets*,82,19755,3244,7017,0.462,829,2365,0.351,2415,4652,0.519,1201,1610,0.746,710,2738,3448,1837,609,363,1194,1670,8518
2018,Detroit Pistons,82,19805,3206,6988,0.459,908,2527,0.359,2298,4461,0.515,1201,1548,0.776,756,2833,3589,2064,597,398,1215,1511,8521
2018,Indiana Pacers*,82,19755,3230,6953,0.465,870,2496,0.349,2360,4457,0.53,1213,1602,0.757,838,2686,3524,1905,577,428,1271,1514,8543
2018,Oklahoma City Thunder*,82,19830,3156,6885,0.458,920,2507,0.367,2236,4378,0.511,1332,1733,0.769,781,2676,3457,1911,630,377,1315,1750,8564
2018,Philadelphia 76ers*,82,19780,3120,7185,0.434,829,2427,0.342,2291,4758,0.482,1566,2102,0.745,818,2641,3459,1782,697,417,1173,1670,8635
2018,Dallas Mavericks,82,19805,3219,6870,0.469,874,2411,0.363,2345,4459,0.526,1327,1754,0.757,725,3027,3752,1929,594,369,1127,1604,8639
2018,Memphis Grizzlies,82,19705,3046,6587,0.462,874,2377,0.368,2172,4210,0.516,1688,2196,0.769,782,2703,3485,1816,662,421,1210,1674,8654
2018,Sacramento Kings,82,19755,3177,6759,0.47,976,2586,0.377,2201,4173,0.527,1347,1760,0.765,745,2843,3588,1939,636,389,1176,1422,8677
2018,Washington Wizards*,82,19855,3195,6918,0.462,835,2393,0.349,2360,4525,0.522,1469,1931,0.761,805,2682,3487,1831,641,383,1224,1639,8694
2018,Milwaukee Bucks*,82,19830,3209,6864,0.468,829,2226,0.372,2380,4638,0.513,1509,1926,0.783,817,2686,3503,1939,585,366,1279,1633,8756
2018,Minnesota Timberwolves*,82,19805,3298,6942,0.475,890,2431,0.366,2408,4511,0.534,1311,1683,0.779,803,2626,3429,1962,529,382,1239,1711,8797
2018,Golden State Warriors*,82,19730,3296,7380,0.447,853,2392,0.357,2443,4988,0.49,1369,1807,0.758,893,2592,3485,1934,717,301,1175,1516,8814
2018,Charlotte Hornets,82,19780,3370,7199,0.468,926,2467,0.375,2444,4732,0.516,1187,1494,0.795,692,2891,3583,2029,542,404,1112,1839,8853
2018,New York Knicks,82,19830,3233,7078,0.457,917,2494,0.368,2316,4584,0.505,1475,1906,0.774,838,2702,3540,1965,670,389,1096,1509,8858
2018,Orlando Magic,82,19730,3355,7176,0.468,819,2260,0.362,2536,4916,0.516,1345,1741,0.773,868,2892,3760,1998,639,402,1166,1556,8874
2018,Denver Nuggets,82,19880,3386,7113,0.476,893,2364,0.378,2493,4749,0.525,1234,1671,0.738,800,2613,3413,2028,654,391,1131,1699,8899
2018,Atlanta Hawks,82,19705,3336,7107,0.469,949,2519,0.377,2387,4588,0.52,1301,1686,0.772,841,2785,3626,2137,710,453,1238,1661,8922
2018,Los Angeles Clippers,82,19705,3298,7194,0.458,881,2477,0.356,2417,4717,0.512,1457,1864,0.782,871,2706,3577,2015,699,462,1154,1803,8934
2018,Los Angeles Lakers,82,19905,3366,7374,0.456,855,2469,0.346,2511,4905,0.512,1402,1843,0.761,840,2835,3675,1932,682,447,1170,1679,8989
2018,Cleveland Cavaliers*,82,19730,3429,7238,0.474,956,2596,0.368,2473,4642,0.533,1200,1588,0.756,812,2766,3578,2122,613,340,1105,1696,9014
2018,Chicago Bulls,82,19855,3360,7115,0.472,990,2678,0.37,2370,4437,0.534,1307,1660,0.787,691,3053,3744,2123,588,423,1112,1425,9017
2018,Brooklyn Nets,82,19855,3418,7334,0.466,741,2010,0.369,2677,5324,0.503,1471,1921,0.766,853,2981,3834,1782,630,450,1015,1615,9048
2018,New Orleans Pelicans*,82,19955,3423,7539,0.454,891,2509,0.355,2532,5030,0.503,1317,1679,0.784,887,2843,3730,1947,670,344,1186,1669,9054
2018,Phoenix Suns,82,19705,3426,7274,0.471,895,2398,0.373,2531,4876,0.519,1543,2014,0.766,855,2906,3761,1910,712,488,1099,1715,9290
2017,Utah Jazz*,82,19755,2978,6723,0.443,671,1874,0.358,2307,4849,0.476,1308,1701,0.769,742,2554,3296,1463,598,312,995,1655,7935
2017,San Antonio Spurs*,82,19805,3032,6839,0.443,668,1942,0.344,2364,4897,0.483,1315,1705,0.771,800,2600,3400,1757,614,333,1184,1623,8047
2017,Memphis Grizzlies*,82,19905,2864,6465,0.443,813,2299,0.354,2051,4166,0.492,1658,2202,0.753,761,2692,3453,1645,574,410,1171,1708,8199
2017,Dallas Mavericks,82,19780,3035,6477,0.469,788,2074,0.38,2247,4403,0.51,1411,1827,0.772,727,2923,3650,1743,535,280,1225,1591,8269
2017,Miami Heat,82,19780,3108,6904,0.45,639,1864,0.343,2469,5040,0.49,1518,1940,0.782,837,2737,3574,1611,556,398,1121,1530,8373
2017,Chicago Bulls*,82,19780,3236,7099,0.456,731,2121,0.345,2505,4978,0.503,1197,1555,0.77,843,2698,3541,1939,602,378,1100,1541,8400
2017,Detroit Pistons,82,19805,3144,6830,0.46,767,2098,0.366,2377,4732,0.502,1346,1726,0.78,656,2861,3517,1929,551,339,1046,1434,8401
2017,Toronto Raptors*,82,19780,3052,6801,0.449,794,2240,0.354,2258,4561,0.495,1519,1948,0.78,831,2619,3450,1786,547,392,1200,1666,8417
2017,Milwaukee Bucks*,82,19780,3116,6802,0.458,816,2312,0.353,2300,4490,0.512,1464,1900,0.771,845,2636,3481,1974,609,375,1205,1579,8512
2017,Atlanta Hawks*,82,19880,3178,7155,0.444,893,2502,0.357,2285,4653,0.491,1280,1658,0.772,876,2722,3598,1919,738,424,1262,1768,8529
2017,Golden State Warriors*,82,19780,3181,7311,0.435,737,2277,0.324,2444,5034,0.485,1450,1905,0.761,963,2604,3567,1862,705,313,1272,1588,8549
2017,Los Angeles Clippers*,82,19755,3163,6999,0.452,753,2154,0.35,2410,4845,0.497,1480,1917,0.772,837,2700,3537,1891,577,258,1084,1835,8559
2017,Charlotte Hornets,82,19830,3237,7092,0.456,950,2576,0.369,2287,4516,0.506,1161,1496,0.776,732,2909,3641,2012,539,450,1071,1631,8585
2017,Indiana Pacers*,82,19855,3115,6909,0.451,849,2389,0.355,2266,4520,0.501,1557,1974,0.789,879,2751,3630,1832,661,407,1225,1599,8636
2017,Boston Celtics*,82,19755,3168,7035,0.45,735,2213,0.332,2433,4822,0.505,1570,2042,0.769,883,2769,3652,1851,623,425,1141,1664,8641
2017,Oklahoma City Thunder*,82,19805,3215,6998,0.459,724,2036,0.356,2491,4962,0.502,1525,1996,0.764,750,2583,3333,1758,698,450,1129,1697,8679
2017,New Orleans Pelicans,82,19905,3286,7299,0.45,863,2445,0.353,2423,4854,0.499,1293,1697,0.762,872,3091,3963,1921,603,348,1144,1581,8728
2017,Minnesota Timberwolves,82,19805,3246,6829,0.475,811,2213,0.366,2435,4616,0.528,1445,1881,0.768,806,2508,3314,1896,629,413,1169,1681,8748
2017,Sacramento Kings,82,19880,3153,6824,0.462,896,2462,0.364,2257,4362,0.517,1546,1988,0.778,826,2689,3515,1941,694,420,1145,1646,8748
2017,Cleveland Cavaliers*,82,19880,3333,7284,0.458,850,2353,0.361,2483,4931,0.504,1271,1644,0.773,902,2724,3626,2024,598,349,1033,1690,8787
2017,Washington Wizards*,82,19855,3253,6978,0.466,810,2224,0.364,2443,4754,0.514,1489,1982,0.751,868,2661,3529,1870,606,377,1257,1621,8805
2017,Orlando Magic,82,19805,3304,7081,0.467,794,2161,0.367,2510,4920,0.51,1425,1860,0.766,799,2934,3733,1936,622,419,1069,1532,8827
2017,New York Knicks,82,19855,3259,7163,0.455,806,2313,0.348,2453,4850,0.506,1533,1988,0.771,953,2715,3668,1786,615,377,1060,1516,8857
2017,Philadelphia 76ers,82,19830,3244,7043,0.461,729,2044,0.357,2515,4999,0.503,1650,2135,0.773,886,2802,3688,1859,704,446,1241,1610,8867
2017,Portland Trail Blazers*,82,19930,3213,7069,0.455,762,2058,0.37,2451,5011,0.489,1706,2173,0.785,830,2778,3608,1688,633,431,1052,1624,8894
